Эмитент;Дата открытия;Тикер;Цена открытия;Комментарий;Цель;Цена закрытия;Дата закрытия;Результат;Срок;;;;;;;;;;;;;;;;;
ОФЗ 26247;22.08.2025;OFZ;946.46;РОСТ;;;Открыта;;В работе;;;;;;;;;;;;;;;;;
ОФЗ 26238;22.08.2025;OFZ;628.81;РОСТ;;;Открыта;;В работе;;;;;;;;;;;;;;;;;
АЭРОФЛОТ;20.08.2025;AFLT;65.95;ПАДЕНИЕ;63;63.62;22.08.2025;3.53%;2 дней;;;;;;;;;;;;;;;;;
Лукойл;19.08.2025;LKOH;6372.5;РОСТ;6690;6259;22.08.2025;-1.78%;3 дней;;;;;;;;;;;;;;;;;
Татнефть;19.08.2025;TATN;704;ПАДЕНИЕ;668;683;22.08.2025;2.98%;3 дней;;;;;;;;;;;;;;;;;
МТС банк ао;15.08.2025;MBNK;1360;РОСТ;1428;1456;20.08.2025;7.06%;5 дней;;;;;;;;;;;;;;;;;
Совкомбанк;15.08.2025;SVCB;16.26;ПАДЕНИЕ;15,5;16.12;20.08.2025;0.86%;5 дней;;;;;;;;;;;;;;;;;
Сбербанк;14.08.2025;SBER;318.85;РОСТ;334.8;;Открыта;;В работе;;;;;;;;;;;;;;;;;
ИКС 5;07.08.2025;X5;3048.5;РОСТ;3201;;Открыта;;В работе;;;;;;;;;;;;;;;;;
Роснефть;01.08.2025;ROSN;;Дивиденды;;572.5;;;;;;;;;;;;;;;;;;;;
ВТБ;31.07.2025;VTBR;77.8;РОСТ;81.69;;Открыта;;В работе;;;;;;;;;;;;;;;;;
Т-Технологии;29.07.2025;T;3183;РОСТ;3342;3364.8;18.08.2025;5.71%;20 дней;;;;;;;;;;;;;;;;;
РУСАЛ;24.07.2025;RUAL;31.72;РОСТ;33.1;33;07.08.2025;4.04%;14 дней;;;;;;;;;;;;;;;;;
Норникель;22.07.2025;GMKN;119.44;РОСТ;124.9;124.86;07.08.2025;4.54%;16 дней;;;;;;;;;;;;;;;;;
Совкомбанк;22.07.2025;SVCB;;Дивиденды;;392;;;;;;;;;;;;;;;;;;;;
